販売名,成分名,規格,判定,判定根拠,レビュー理由
パロノセトロン静注０．７５ｍｇ／２ｍＬシリンジ「ＮＰ」,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
パロノセトロン静注０．７５ｍｇ／２ｍＬシリンジ「トーワ」,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ホスアプレピタント点滴静注用１５０ｍｇ「ＮＫ」,ホスアプレピタントメグルミン,１５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アロカリス点滴静注２３５ｍｇ,ホスネツピタント塩化物塩酸塩,２３５ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
塩酸メトクロプラミド０．５％２ｍＬ注射液,メトクロプラミド,０．５％２ｍＬ１管,○,告示第十第一号 [メトクロプラミド製剤] マッチ規則:substring,自動substring一致（要確認）
プリンペラン注射液１０ｍｇ,メトクロプラミド,０．５％２ｍＬ１管,○,告示第十第一号 [メトクロプラミド製剤] マッチ規則:substring,自動substring一致（要確認）
レミケード点滴静注用１００,インフリキシマブ（遺伝子組換え）,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
インフリキシマブＢＳ点滴静注用１００ｍｇ「ＮＫ」,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続１］,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
インフリキシマブＢＳ点滴静注用１００ｍｇ「あゆみ」,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続２］,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
インフリキシマブＢＳ点滴静注用１００ｍｇ「日医工」,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続２］,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エンタイビオ点滴静注用３００ｍｇ,ベドリズマブ（遺伝子組換え）,３００ｍｇ１瓶,○,告示第十第一号 [ベドリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
エンタイビオ皮下注１０８ｍｇシリンジ,ベドリズマブ（遺伝子組換え）,１０８ｍｇ０．６８ｍＬ１筒,○,告示第十第一号 [ベドリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
エンタイビオ皮下注１０８ｍｇペン,ベドリズマブ（遺伝子組換え）,１０８ｍｇ０．６８ｍＬ１キット,○,告示第十第一号 [ベドリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
インフリキシマブＢＳ点滴静注用１００ｍｇ「ファイザー」,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続３］,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オンボー点滴静注３００ｍｇ,ミリキズマブ（遺伝子組換え）,３００ｍｇ１５ｍＬ１瓶,○,告示第十第一号 [ミリキズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
オンボー皮下注１００ｍｇシリンジ,ミリキズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１筒,○,告示第十第一号 [ミリキズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
オンボー皮下注１００ｍｇオートインジェクター,ミリキズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１キット,○,告示第十第一号 [ミリキズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
オンボー皮下注２００ｍｇシリンジ,ミリキズマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１筒,○,告示第十第一号 [ミリキズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
オンボー皮下注２００ｍｇオートインジェクター,ミリキズマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１キット,○,告示第十第一号 [ミリキズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
コートロシン注射用０．２５ｍｇ,テトラコサクチド酢酸塩,０．２５ｍｇ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
コートロシンＺ筋注０．５ｍｇ,酢酸テトラコサクチド亜鉛,０．５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソマトロピンＢＳ皮下注５ｍｇ「サンド」シュアパル,ソマトロピン（遺伝子組換え）,５ｍｇ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソマトロピンＢＳ皮下注１０ｍｇ「サンド」シュアパル,ソマトロピン（遺伝子組換え）,１０ｍｇ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グロウジェクト皮下注１２ｍｇ,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グロウジェクト皮下注６ｍｇ,ソマトロピン（遺伝子組換え）,６ｍｇ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジェノトロピンＴＣ注用５．３ｍｇ,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１筒（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジェノトロピンＴＣ注用１２ｍｇ,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジェノトロピンゴークイック注用５．３ｍｇ,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジェノトロピンゴークイック注用１２ｍｇ,ソマトロピン（遺伝子組換え）,１２ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノルディトロピン　フレックスプロ注　５ｍｇ,ソマトロピン（遺伝子組換え）,５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノルディトロピン　フレックスプロ注　１０ｍｇ,ソマトロピン（遺伝子組換え）,１０ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノルディトロピン　フレックスプロ注　１５ｍｇ,ソマトロピン（遺伝子組換え）,１５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソグルーヤ皮下注５ｍｇ,ソマプシタン（遺伝子組換え）,５ｍｇ１．５ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソグルーヤ皮下注１０ｍｇ,ソマプシタン（遺伝子組換え）,１０ｍｇ１．５ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソグルーヤ皮下注１５ｍｇ,ソマプシタン（遺伝子組換え）,１５ｍｇ１．５ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エヌジェンラ皮下注２４ｍｇペン,ソムアトロゴン（遺伝子組換え）,２４ｍｇ１．２ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
