販売名,成分名,規格,判定,判定根拠,レビュー理由
イーケプラ点滴静注５００ｍｇ,レベチラセタム,５００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レベチラセタム点滴静注５００ｍｇ「アメル」,レベチラセタム,５００ｍｇ５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レベチラセタム点滴静注５００ｍｇ「日新」,レベチラセタム,５００ｍｇ５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レベチラセタム点滴静注５００ｍｇ「明治」,レベチラセタム,５００ｍｇ５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ロラピタ静注２ｍｇ,ロラゼパム,２ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ビムパット点滴静注２００ｍｇ,ラコサミド,２００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ビムパット点滴静注１００ｍｇ,ラコサミド,１００ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フィコンパ点滴静注用２ｍｇ,ペランパネル水和物,２ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ブリィビアクト静注２５ｍｇ,ブリーバラセタム,２５ｍｇ２．５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アセリオ静注液１０００ｍｇバッグ,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サリチル酸ナトリウム５％１０ｍＬ注射液,サリチル酸ナトリウム,５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スルピリン注射液,スルピリン水和物,１０％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スルピリン注射液,スルピリン水和物,２５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スルピリン注射液,スルピリン水和物,２５％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スルピリン注射液,スルピリン水和物,５０％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トラマール注１００,トラマドール塩酸塩,１００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソセゴン注射液１５ｍｇ,ペンタゾシン,１５ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソセゴン注射液３０ｍｇ,ペンタゾシン,３０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケトプロフェン筋注５０ｍｇ「日新」,ケトプロフェン,５０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レペタン注０．２ｍｇ,ブプレノルフィン塩酸塩,０．２ｍｇ１管,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,自動substring一致（要確認）
ブプレノルフィン注０．２ｍｇ「日新」,ブプレノルフィン塩酸塩,０．２ｍｇ１管,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,自動substring一致（要確認）
レペタン注０．３ｍｇ,ブプレノルフィン塩酸塩,０．３ｍｇ１管,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,自動substring一致（要確認）
ブプレノルフィン注０．３ｍｇ「日新」,ブプレノルフィン塩酸塩,０．３ｍｇ１管,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,自動substring一致（要確認）
ロピオン静注５０ｍｇ,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,○,告示第十第一号 [フルルビプロフェンアキセチル製剤] マッチ規則:substring,自動substring一致（要確認）
カシワドール静注,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム１０ｍＬ注射液,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サリチル酸ナトリウム・ジブカイン配合２ｍＬ注射液,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ネオビタカイン注２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ネオビタカイン注シリンジ２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ネオビタカイン注５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ネオビタカイン注シリンジ５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノイロトロピン注射液１．２単位,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノイロトロピン注射液３．６単位,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アキネトン注射液５ｍｇ,乳酸ビペリデン,０．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
乳酸ビペリデン注５ｍｇ「ヨシトミ」,乳酸ビペリデン,０．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドパストン静注２５ｍｇ,レボドパ,０．２５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドパストン静注５０ｍｇ,レボドパ,０．２５％２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アポカイン皮下注３０ｍｇ,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,○,告示第十第一号 [アポモルヒネ塩酸塩製剤] マッチ規則:substring,自動substring一致（要確認）
ヴィアレブ配合持続皮下注,ホスレボドパ・ホスカルビドパ水和物,１０ｍＬ１瓶,○,告示第十第一号 [ホスレボドパ・ホスカルビドパ水和物配合剤] マッチ規則:substring,自動substring一致（要確認）
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,１％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ピーゼットシー筋注２ｍｇ,塩酸ペルフェナジン,０．２％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノバミン筋注５ｍｇ,プロクロルペラジン,０．５％１ｍＬ１管,○,告示第十第一号 [プロクロルペラジン製剤] マッチ規則:substring,自動substring一致（要確認）
フルデカシン筋注２５ｍｇ,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アナフラニール点滴静注液２５ｍｇ,クロミプラミン塩酸塩,２５ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩,５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドグマチール筋注１００ｍｇ,スルピリド,１００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
セレネース注５ｍｇ,ハロペリドール,０．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ハロペリドール注５ｍｇ「ヨシトミ」,ハロペリドール,０．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ハロマンス注５０ｍｇ,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ハロマンス注１００ｍｇ,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リスパダール　コンスタ筋注用２５ｍｇ,リスペリドン,２５ｍｇ１キット（懸濁用液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リスパダール　コンスタ筋注用３７．５ｍｇ,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リスパダール　コンスタ筋注用５０ｍｇ,リスペリドン,５０ｍｇ１キット（懸濁用液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジプレキサ筋注用１０ｍｇ,オランザピン,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオン水懸筋注２５ｍｇシリンジ,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオン水懸筋注５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオン水懸筋注７５ｍｇシリンジ,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオン水懸筋注１００ｍｇシリンジ,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオン水懸筋注１５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオンＴＲＩ水懸筋注１７５ｍｇシリンジ,パリペリドンパルミチン酸エステル,１７５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオンＴＲＩ水懸筋注２６３ｍｇシリンジ,パリペリドンパルミチン酸エステル,２６３ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオンＴＲＩ水懸筋注３５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,３５０ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゼプリオンＴＲＩ水懸筋注５２５ｍｇシリンジ,パリペリドンパルミチン酸エステル,５２５ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エビリファイ持続性水懸筋注用３００ｍｇ,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エビリファイ持続性水懸筋注用４００ｍｇ,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エビリファイ持続性水懸筋注用３００ｍｇシリンジ,アリピプラゾール水和物,３００ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エビリファイ持続性水懸筋注用４００ｍｇシリンジ,アリピプラゾール水和物,４００ｍｇ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ラジカット注３０ｍｇ,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注３０ｍｇ「ＮＰ」,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注３０ｍｇ「タカタ」,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注液３０ｍｇ「ＮＳ」,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注液３０ｍｇ「ケミファ」,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注液３０ｍｇ「日医工」,エダラボン,３０ｍｇ２０ｍＬ１管,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注３０ｍｇ「トーワ」,エダラボン,３０ｍｇ２０ｍＬ１瓶,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
ラジカット点滴静注バッグ３０ｍｇ,エダラボン,３０ｍｇ１００ｍＬ１キット,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注３０ｍｇバッグ「アイロム」,エダラボン,３０ｍｇ１００ｍＬ１キット,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注３０ｍｇバッグ「タカタ」,エダラボン,３０ｍｇ１００ｍＬ１キット,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注液３０ｍｇバッグ「ＮＰ」,エダラボン,３０ｍｇ１００ｍＬ１キット,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」,エダラボン,３０ｍｇ１００ｍＬ１キット,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,自動substring一致（要確認）
タイサブリ点滴静注３００ｍｇ,ナタリズマブ（遺伝子組換え）,３００ｍｇ１５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スピンラザ髄注１２ｍｇ,ヌシネルセンナトリウム,１２ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スピンラザ髄注２８ｍｇ,ヌシネルセンナトリウム,２８ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
スピンラザ髄注５０ｍｇ,ヌシネルセンナトリウム,５０ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エムガルティ皮下注１２０ｍｇシリンジ,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１筒,○,告示第十第一号 [ガルカネズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
エムガルティ皮下注１２０ｍｇオートインジェクター,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１キット,○,告示第十第一号 [ガルカネズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
ケシンプタ皮下注２０ｍｇペン,オファツムマブ（遺伝子組換え）,２０ｍｇ０．４ｍＬ１キット,○,告示第十第一号 [オファツムマブ製剤] マッチ規則:substring,自動substring一致（要確認）
アイモビーグ皮下注７０ｍｇペン,エレヌマブ（遺伝子組換え）,７０ｍｇ１ｍＬ１キット,○,告示第十第一号 [エレヌマブ製剤] マッチ規則:substring,自動substring一致（要確認）
アジョビ皮下注２２５ｍｇシリンジ,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１筒,○,告示第十第一号 [フレマネズマブ製剤] マッチ規則:substring ※条件付:四週間に一回投与する場合に限る。,自動substring一致（要確認）
アジョビ皮下注２２５ｍｇオートインジェクター,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１キット,○,告示第十第一号 [フレマネズマブ製剤] マッチ規則:substring ※条件付:四週間に一回投与する場合に限る。,自動substring一致（要確認）
レケンビ点滴静注２００ｍｇ,レカネマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レケンビ点滴静注５００ｍｇ,レカネマブ（遺伝子組換え）,５００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケサンラ点滴静注液３５０ｍｇ,ドナネマブ（遺伝子組換え）,３５０ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ロゼバラミン筋注用２５ｍｇ,メコバラミン,２５ｍｇ１瓶,○,告示第十第一号 [メコバラミン製剤] マッチ規則:substring,自動substring一致（要確認）
クアルソディ髄注１００ｍｇ,トフェルセン,１００ｍｇ１５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,０．５％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,０．５％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液０．５％「日医工」,プロカイン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,１％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,１％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,１％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,１％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,２％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,２％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,２％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロカイン塩酸塩注射液,プロカイン塩酸塩,０．５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注射液「０．５％」エピレナミン（１：１００，０００）含有,リドカイン塩酸塩・アドレナリン,０．５％１０ｍＬバイアル,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
キシロカイン注射液「１％」エピレナミン（１：１００，０００）含有,リドカイン塩酸塩・アドレナリン,１％１０ｍＬバイアル,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
キシロカイン注射液「２％」エピレナミン（１：８０，０００）含有,リドカイン塩酸塩・アドレナリン,２％１０ｍＬバイアル,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
キシロカイン注ポリアンプ０．５％,リドカイン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注０．５％「日新」,リドカイン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液０．５％「ＶＴＲＳ」,リドカイン塩酸塩,０．５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注ポリアンプ０．５％,リドカイン塩酸塩,０．５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注０．５％「日新」,リドカイン塩酸塩,０．５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液０．５％「ＶＴＲＳ」,リドカイン塩酸塩,０．５％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注ポリアンプ１％,リドカイン塩酸塩,１％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注１％「日新」,リドカイン塩酸塩,１％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液１％「ＶＴＲＳ」,リドカイン塩酸塩,１％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注ポリアンプ１％,リドカイン塩酸塩,１％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注１％「日新」,リドカイン塩酸塩,１％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液１％「ＶＴＲＳ」,リドカイン塩酸塩,１％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注ポリアンプ２％,リドカイン塩酸塩,２％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注２％「日新」,リドカイン塩酸塩,２％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液２％「ＶＴＲＳ」,リドカイン塩酸塩,２％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注シリンジ０．５％,リドカイン塩酸塩,０．５％１０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注シリンジ１％,リドカイン塩酸塩,１％１０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キシロカイン注ポリアンプ２％,リドカイン塩酸塩,２％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注２％「日新」,リドカイン塩酸塩,２％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン塩酸塩注射液２％「ＶＴＲＳ」,リドカイン塩酸塩,２％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リドカイン注射液,リドカイン,０．５％１０ｍＬバイアル,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
